title,product_id,url,price,rating,Num_reviews_for_product,favorited_by,store_name,store_sales,store_url,Num_reviews_for_store,reviews
Reusable Reversible Linen Face Masks Face Covering kids + adults  2 layer breathable Natural Linen Fabric with inner pocket opening at ends,805495251,www.etsy.com/listing/805495251,6.99,4.93,51,3155,MaliWear,"10,239",https://www.etsy.com/shop/MaliWear,280,"Josh Schneider,  Jun 16, 2020,Nicole Lindbom,  Jun 16, 2020,KIMBERLY,  Jun 16, 2020,Christy Lynch,  Jun 16, 2020"
Washable Face Mask - Lacy Mask - STERILE PACKAGE | Anti-Microbial Comfortable Breath | Double Stage Ear Relaxing Rope| Adult Unisex,822594335,www.etsy.com/listing/822594335,8.99,,,2,AberIstanbul,,https://www.etsy.com/shop/AberIstanbul,,
"Wholesale Bulk Face Masks, Made In USA, Double Layered, Light Weight Breathable in Black Pink Red Blue Grey, Anti-Dust Washable Adult Unisex",806591505,www.etsy.com/listing/806591505,9.99,4.62,33,348,ThreePinkStars,"1,822",https://www.etsy.com/shop/ThreePinkStars,119,"makailawhite,  Jun 16, 2020,Vanessa,  Jun 16, 2020,Renee Schuh,  Jun 15, 2020,Renee Schuh,  Jun 15, 2020"
"Face Mask Ship SAME DAY, Cotton Face Mask Washable Masks, Ready to Ship From the USA, Reusable Unisex Masks Adult",792439218,www.etsy.com/listing/792439218,4.33,3.97,215,1240,WeddingStudioCo,"17,700",https://www.etsy.com/shop/WeddingStudioCo,"1,196","slrauens,  Jun 16, 2020,Susan Gutbrod,  Jun 16, 2020,Lisa Erazo,  Jun 16, 2020,slrauens,  Jun 16, 2020"
UNISEX Cotton Face Mask - Plain Colors - Washable - Reusable - Adult Face Mask - Face Cover - Filter Pocket - Shipping from New York,800561537,www.etsy.com/listing/800561537,3.99,4.4,366,1243,AmericanGroundhog,"18,428",https://www.etsy.com/shop/AmericanGroundhog,617,"Betsy Carraway,  Jun 16, 2020,henry,  Jun 16, 2020,Learyn Perez,  Jun 16, 2020,amccarthy22,  Jun 16, 2020"
"Reuseable Face masks with filter pocket adult Ladies cotton double layer face masks, washable masks",792517365,www.etsy.com/listing/792517365,7.70,3.82,35,229,TheLittleStitcheryCo,935,https://www.etsy.com/shop/TheLittleStitcheryCo,77,"Drake,  Jun 12, 2020,Ann White,  Jun 11, 2020,Gretta,  Jun 15, 2020,Laura,  Jun 14, 2020"
Face Mask Washable Reversible With Three Layers and Nose Wire,778273612,www.etsy.com/listing/778273612,12.00,4.82,196,407,MariettaTroyer,"1,676",https://www.etsy.com/shop/MariettaTroyer,241,"Cathlin Shahriary,  Jun 14, 2020,Cathlin Shahriary,  Jun 14, 2020,Jordan,  Jun 10, 2020,Domo Lm,  Jun 9, 2020"
Face MaskOver 300 Face Mask Patterns Hand Made in USA. Patterns for all ages.Adjustable Around Head or Ear. Free Shipping,820368473,www.etsy.com/listing/820368473,8.00,4.7,,32,JenasysApparel,"6,154",https://www.etsy.com/shop/JenasysApparel,,"Angela,  Jun 16, 2020,Angela,  Jun 16, 2020,Michael,  Jun 16, 2020,Carlos F Gaudinez Jr,  Jun 15, 2020"
Face Mask Reusable Washable Cover Masks Fashion Cloth Women Silk Uzbek Ikat USA,820233909,www.etsy.com/listing/820233909,4.99,5.0,,11,19thNOBLE,77,https://www.etsy.com/shop/19thNOBLE,,"Sara WhiteEagle,  Sep 26, 2019,tinyweasel,  Feb 4, 2019,Ghaziya,  Mar 2, 2018,Ghaziya,  Mar 2, 2018"
Solid color 3-layer Washable American made fabric facemask,793882529,www.etsy.com/listing/793882529,12.00,4.92,111,302,Sewcutecraftsart,"1,803",https://www.etsy.com/shop/Sewcutecraftsart,138,"Leah Hardy,  Jun 16, 2020,Jen Lewis,  Jun 15, 2020,Carolyn,  Jun 13, 2020,katarina swint,  Jun 12, 2020"
"Face Mask, UNISEX Adult Face Mask, Social Distancing, reuseable face mask, made in USA, dust masks, Face Masks, washable face mask",782624496,www.etsy.com/listing/782624496,10.00,4.65,63,198,CCCraftsnDelectables,"1,052",https://www.etsy.com/shop/CCCraftsnDelectables,65,"CAROL THOMPSON,  Jun 13, 2020,mji1949,  Jun 13, 2020,kcstarwing,  Jun 12, 2020,kcstarwing,  Jun 12, 2020"
Aloha Mask Print 3-Ply Disposable Protective Face Mask ,794901870,www.etsy.com/listing/794901870,2.39,4.41,,11,MaskMyFace,"1,377",https://www.etsy.com/shop/MaskMyFace,,"Ebonique Hannon,  Jun 4, 2020,Kayla,  Jun 16, 2020,Lynn Durkee,  Jun 16, 2020,Molly Durnas,  Jun 16, 2020"
"USA Handmade Face Mask/ Reusable Face Mask With Filter Pocket/ Washable Face Mask/ Cotton Mask / Man, woman and kids size",794486835,www.etsy.com/listing/794486835,10.99,4.68,180,793,StylebyTyanka,"2,853",https://www.etsy.com/shop/StylebyTyanka,203,"Rebecca Goldstein,  Jun 15, 2020,Cindy,  Jun 13, 2020,Lynn Wheelis,  Jun 13, 2020,Nicky,  Jun 12, 2020"
