title,product_id,url,price,rating,Num_reviews_for_product,favorited_by,store_name,store_sales,store_url,Num_reviews_for_store,reviews
Triple Layer Pack of (5)Washable Cotton Masks.,789201161,www.etsy.com/listing/789201161,14.41,4.73,61,203,justjmlshop,862,https://www.etsy.com/shop/justjmlshop,63,"Sunny,  Jun 21, 2020,jennysweeney04,  Jun 20, 2020,reddcin,  Jun 20, 2020,Pat,  Jun 18, 2020"
PINK LIPS Face Mask - Cute PINK lips Mask - Reusable Face Mask - Washable Face Mask - Cute Girl Mask - Cute Resuable Face Mask,801544160,www.etsy.com/listing/801544160,9.60,4.45,,208,LeslysCreation,"2,709",https://www.etsy.com/shop/LeslysCreation,,"irishgirl72,  Jun 18, 2020,Maria Carvajal,  Jun 15, 2020,Audreana Weaver,  Jun 21, 2020,Concepcion,  Jun 21, 2020"
Golden Forest Mask - Washable and Reusable,798955919,www.etsy.com/listing/798955919,12.00,4.81,,64,MasksByAP,"1,070",https://www.etsy.com/shop/MasksByAP,,"tnpearljam,  Apr 27, 2020,Josette West,  Apr 27, 2020,Sophia Gutterman,  May 26, 2020,Kren,  Jun 21, 2020"
Reusable Reversible Linen Face Masks Face Covering kids + adults  2 layer breathable Natural Linen Fabric with inner pocket opening at ends,805495251,www.etsy.com/listing/805495251,6.99,4.91,74,4601,MaliWear,"13,427",https://www.etsy.com/shop/MaliWear,311,"Jenna Cloutier,  Jun 21, 2020,ldstephens1,  Jun 20, 2020,Kylie Sharp,  Jun 20, 2020,Dharini Raja,  Jun 20, 2020"
"Face Mask, ""Man With Moustache"", Protective, Cotton, Washable, Fun Mask, Hand Made, Made in USA, Free Shipping Eligible | FM012",797279149,www.etsy.com/listing/797279149,13.99,4.44,346,1568,PrintedFaces,"10,628",https://www.etsy.com/shop/PrintedFaces,"1,139","Janice H,  Jun 21, 2020,Derek Cole,  Jun 20, 2020,danstacey01,  Jun 20, 2020,Rick,  Jun 20, 2020"
3 layers reusable face mask. Pocket for filter and fit to the nose. Washable face mask. Read description. *elastic and fabric may vary*,788012329,www.etsy.com/listing/788012329,3.00,4.9,95,87,byjolieshands,624,https://www.etsy.com/shop/byjolieshands,114,"Roy,  Jun 15, 2020,David Williams,  Jun 12, 2020,Sonya,  Jun 9, 2020,Rinda,  Jun 8, 2020"
Face masks - Misc 3,792676833,www.etsy.com/listing/792676833,5.00,4.87,,11,BarbsCraftyTreasures,409,https://www.etsy.com/shop/BarbsCraftyTreasures,,"Amanda Fernandez,  Jun 18, 2020,Peggy,  Jun 17, 2020,Donna Watkins,  Jun 11, 2020,Molly,  Jun 8, 2020"
Cotton Face Mask Washable + Filter Pockets - 100% Cotton Cloth Face Covering - Flowers Orange Pink Floral - Fast Ship from USA Next Day,808479977,www.etsy.com/listing/808479977,14.25,4.99,,127,TrouvailleStudioTW,548,https://www.etsy.com/shop/TrouvailleStudioTW,,"Madison Nigus,  May 21, 2020,mcramones,  Jun 4, 2020,Drew Cavanaugh,  Jun 13, 2020,Carey Daste,  Jun 21, 2020"
"Double Layer Face Mask Free Fast Delivery Grey Black Cotton Face Mask 100% Cotton Mask Dust Mask, Washable Face Mask Fabric Mask, Adult Size",780750156,www.etsy.com/listing/780750156,11.00,4.69,10,83,Erikadolls,"2,617",https://www.etsy.com/shop/Erikadolls,204,"pencemlh,  Jun 16, 2020,mary novotny,  Jun 9, 2020,Emma Burns,  Jun 1, 2020,Maeva Guilleux,  May 12, 2020"
Face masks- Double Layer -Adult & Child sizes,803634374,www.etsy.com/listing/803634374,10.00,5.0,,49,CrazyCrafterLadyAmy,437,https://www.etsy.com/shop/CrazyCrafterLadyAmy,,"Jorge Cruz,  Feb 7, 2020,Jennifer,  Jan 20, 2020,Traci,  Jan 17, 2020,robyrd,  Jan 6, 2020"
